Timestamp,How large is your organization?,How long have you been using MediaWiki?,How many MediaWiki sites do you manage?,Are your sites public or private?,Approximately how many people are there on your MediaWiki sites?,What MediaWiki Version are you currently using?,Which MediaWiki update cycle is closest to what you use?,"Of the extensions you use, which are your most essential?",Why do you use MediaWiki?,What would you like to see most improved in MediaWiki the software?,What would you like to see most improved in the community around MediaWiki?,Do you make contributions to the MediaWiki community?,"What barriers, if any, do you think exist to participation in the MediaWiki community? What can we do to help?"
7/16/2015 13:24:58,100-500 people,5+ years,2-5,Public,Just me,Older than 1.19,When needed,"SQL2Wiki (heavily customized), pChart4mw, ParserFunctions, Graphviz, SimpleTable, mwCalendar, DynamicPageList2, MpDisqus, EmbedPDF, RandomImage","Collaborative authoring potential, ease of content entry and editing, easy integration with other tools, fostering the perception of an open system (even though few choose to take part)","Better/easier image management -- the upload/link procedure is a bit tedious.
Easier justification for keeping current -- it's not clear why I should suffer the inevitable pain of changing versions.
","""Extension champions"" to counter the ""extension nazis"" who seem to delete every extension I find essential at some point!","I contribute feedback and bug reports, I contribute to extensions, I help answer questions and provide support","Some sort of incentives for keeping up and participating. I'm not talking financial, I just often fail to see the benefits of upgrading and/or participating. It would be good to see some tutorials for doing things like upgrading old tag-style extensions to first-class parser functions, for example. (I've started to upgrade one extension about three times, and get blocked on ""what's next..."")"
7/16/2015 14:06:36,Fewer than 25 people,5+ years,2-5,Public,25-100 people,1.23 (Current LTS),When needed,"Semantic Forms,Cargo,ParserFunctions,Confirm Edit,Admin Links",I like wikis.,Better support for limiting read-access.,It would be good to have a MediaWiki conference.,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute to extensions, I help answer questions and provide support, I write books about it",No idea.
7/16/2015 14:43:21,Just Me,5+ years,2-5,Mix of Both,25-100 people,"1.25, 1.23 (Current LTS), 1.19",Ever major release,"MultipleUpload,CategoryTree,Cite,ParserFunctions,Poem,Abuse Filter,ImageMap",Is the software that runs wikipedia and is pretty well maintained and active,,,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions, I help answer questions and provide support, Pywikibot",
7/16/2015 16:23:38,Just Me,Less than 6 months,More than 10,Mix of Both,Just me,1.25,Every security release,"Cite, ContactPage, SecurePages, Gadgets, EmailForm",I need to be able to do fast updates to web site content. ,Easier automated updating,N/A,I contribute feedback and bug reports,None that I am aware of.
7/16/2015 17:04:23,More than 500 people,3-5 years,5-10,Private,More than 500 people,1.23 (Current LTS),When needed,"Simple Security, Approved Revs, CategoryTree, Social Profile, DynamicSidebar","Document repository for internal corporate handbooks. We wanted something that is familiar, easy to use, and has a good search.","We are currently limited to a specific browser (Internet Explorer) - although our IT is finally approving alternatives in coming months. I would love to see VisualEditor more mature and with a built-in spellcheck - and working for IE. I would also like to see better support for the LTS versions - it seems like VisualEditor development moves forward with the newest updates to core, but they don't always get back-ported to the LTS version in a timely manner.","I would like to see better participation in IRC. I have asked questions at times and received great response. Other times, no reply at all. It's also confusing to be directed to another channel (like VisualEditor), but then have no voice privilege there to ask a question.","I contribute feedback and bug reports, I contribute to extensions, I help answer questions and provide support","The GIT / Labs process is very confusing and there is conflicting information in the documentation. I started the process 3 different times before finally completing it, and I had to ask for support as my account didn't get created properly."
7/16/2015 17:30:00,Fewer than 25 people,5+ years,2-5,Public,Fewer than 25 people,"1.25, 1.19",When needed,"Semantic wiki, semantic forms, semantic forms inputs, wikilog, arrays, parser functions, gadgets, wikieditor","I use media wiki for text RPG games, where we house game information and records of roleplay.",I pretty much love it as is. ,,I contribute feedback and bug reports,"I don't know - I love mediawiki, but I don't have the knowledge or time to participate in the broader community really. "
7/16/2015 19:06:28,25-100 people,5+ years,More than 10,Public,More than 500 people,"Latest development build (master, 1.26+, WMF builds)",Every minor point release,"Wikibase, Cite, Scribunto, ParserFunctions, WikiEditor, CharInsert, Gadgets",As a platform for almost everything.,Multi part content.,Have a plan.,"I contribute feedback and bug reports, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions","Faster, more active code review."
7/16/2015 22:50:33,More than 500 people,3-5 years,2-5,Public,25-100 people,"1.24, Older than 1.19",When needed,"PonyDocs,Blacklist,SkinPerPage",We run our customer-facing documentation site on MediaWiki and the PonyDocs extension. We chose MW for documentation because we wanted to enable every employee to edit documentation.,,,I contribute to extensions,
7/16/2015 23:10:02,Not sure,1-2 years,2-5,Public,More than 500 people,"Latest development build (master, 1.26+, WMF builds)",Every minor point release,"Scribunto,TemplateSandbox,ParserFunctions,FlaggedRevs,CheckUser,ApiSandbox,CentralAuth",,,,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions, I help answer questions and provide support","From a developer's perspective, some patches take an extremely long time (I've had patches go over a year) to be reviewed."
7/17/2015 0:37:33,More than 500 people,5+ years,5-10,Mix of Both,25-100 people,1.23 (Current LTS),When needed,"DynamicPageList (third party),StopForumSpam,Gadgets,Google Analytics Integration,WikiEditor","REDACTED is a parody of Wikipedia, which uses MediaWiki.",Automatic updates,People backing up their words with actions.,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions, I help answer questions and provide support","Poor documentation, which is either outdated or entirely missing.
"
7/17/2015 1:59:22,Just Me,5+ years,2-5,Mix of Both,Fewer than 25 people,1.25,Every security release,"ConfirmEdit, Renameuser, Vector, wikiEditor, Calendar, Piwik","MediaWiki is the best and best known tool to organize data in an open way for many users. My private Wiki is used to remember things and organize notes and ideas, another Wiki I host is an informationportal for my hometown, to integrate the people in collecting and organizing data about the town.","Sometimes I wish, MediaWiki would support ACLs.

MediaWiki is not usable as a knowledgebase in our company, because we have to restrict access of some parts to a few users. I would like to use MediaWiki instead of another Wiki or a CMS, but this key feature is not available.

But I know that this is not the scope of mediawiki. ;-)",-,I help answer questions and provide support,
7/17/2015 3:19:07,Fewer than 25 people,5+ years,More than 10,Mix of Both,More than 500 people,"1.23 (Current LTS), 1.21, 1.20, 1.19, Older than 1.19",When needed,"Semantic Forms, Semantic Internal Objects, Semantic MediaWiki, Semantic Result Formats, MultipleUpload, Password Reset, ParserFunctions, Regex Fun, StringFunctions, SearchSuggest",It's fast. Work really in a group.,"- The Search engine is week
- Easier upload (too many steps, too complicate for endusers)",There is no strategy for all MediaWiki users. Only Wikipedia is in the focus.,"I contribute patches and bug fixes, I contribute to extensions, I help answer questions and provide support",
7/17/2015 4:25:41,Fewer than 25 people,5+ years,More than 10,Mix of Both,More than 500 people,"1.24, 1.23 (Current LTS), 1.19",When needed,5 is not enough,"I had Lotus Notes before and migrated to MediaWiki
I need traceability in my sofware projects so the linking is important.",Enterprise support - having a proper bugreport/change request handling based on the needs of paying customers.,"Creating a Company that supports Enterprise users. I'd love to see a ""Genossenschaft"" for this. That would be a for profit Foundation that targets Enterprises.","I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute to extensions, I help answer questions and provide support, Visit hackathons and conferences",Mediawikifoundation is revolving around it's own agenda which is based on the experience with millions of people using the wikipedia sites. This is a great thing and has made a lot of success possible. Now for enterprise usage some of the basic assumptions e.g. about security and non-public wikis are in the way of needed progress for enterprise use.
7/17/2015 5:20:23,More than 500 people,3-5 years,More than 10,Mix of Both,More than 500 people,1.23 (Current LTS),Every security release,semanticsmediawiki,"Gathering information easily.
Presenting information easily.
Connect people.
Archive presentations and tutorials.",Execution time (our wikis often need more than three seconds),"To actually allow new people to join the community.
It feels like there is an elite and they are unaccessible for you.",I contribute to extensions,Getting into mediawiki extension programming was really hard. Often the documentation was not detailed enough. Most of the things I needed to know I had to reverse engineer. One of the reasons was also that in many parts of mediawiki code there is no or only bad documentation. Most of the comments don't explain what it is used to do but rather repeat the function name.
7/17/2015 7:16:37,More than 500 people,5+ years,2-5,Public,More than 500 people,1.23 (Current LTS),Every security release,"Translate,Abuse Filter,widget,gadget,wikieditor,arrays",Collaboration ,Editor ,Better developer docs,"I contribute feedback and bug reports, I help with documentation, I help answer questions and provide support","One of my concerns is the use of Composer and how it affects the newbies.  There are a lot of users who are tech savvy enough to grab MW  and install it on the shared server.  Yes, I know Composer has a lot of benefits in maintaining and  deploying libraries. I worry though you're limiting new users to a smaller group. "
7/17/2015 8:14:03,Just Me,3-5 years,5-10,Mix of Both,100-500 people,"Latest development build (master, 1.26+, WMF builds), 1.25, 1.24, 1.23 (Current LTS), 1.22",When needed,"Semantic MediaWiki, Semantic Forms, Push, ApprovedRevs, Skinny, ConfirmEdit, Cite, WikiSEO",Market traction,"The development experience. Documentation is a mess of outdated information, and totally lacking a decent architectural overview and ""public"" api specification for extension developers.","I'm not too involved in the community, so it's difficult to comment.","I contribute feedback and bug reports, I contribute to extensions","The only way I'm really connected to the ""community"" is via the mailing list, but I don't find it a very engaging way to be connected. I get the digest and usually just scan the subject lines.  Not sure what tools would increase my participation - possibly Discourse style forums."
7/17/2015 9:19:32,More than 500 people,1-2 years,1,Private,Fewer than 25 people,1.23 (Current LTS),Ever major release,"SemanticMediawiki, SemanticForms, pchart4mw, MathJax, AdminLinks, ArticleFeedbackv5, CategoryTree, Cite, Echo, ImageMap, InputBox, LiquidThreads, Nuke, ParserFunctions, Renameuser, ReplaceText, WikiEditor, SyntaxHighlight_GeSHi",Internal site used for engineering knowledge management,"easier cross platform deployment.  Updated extensions for comment threading in talk pages, easier visual editor deployment.",,,steep technical learning curve
7/17/2015 9:23:34,Fewer than 25 people,3-5 years,More than 10,Mix of Both,Not Sure,"Latest development build (master, 1.26+, WMF builds), 1.25, 1.23 (Current LTS)",Every security release,"CreateWiki, Interwiki, GlobalPreferences, GlobalUserrights, Maintenance, Cite, Screenplay, DPLforum, InputBox, ParserFunctions, Abuse Filter, Phalanx, SpamBlacklist, Global CSS/JS, GlobalUserPage, ResponsiveVector, SharedHelpPages, Shared Newtalk, scribunto, confirmedit, namespace restrictions, contactpage, gadgets, massmessage, renameuser, css, randomselection, StopForumSpam, ApiSandbox, MediaWikiAuth, MobileFrontend
",Bad habits die hard.,Out-of-the-box mobile support,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions","Nobody cares about things that are important to us. We have to do everything ourselves, but attempts to get code merged upstream languish or outright fail."
7/17/2015 12:08:42,Fewer than 25 people,5+ years,1,Public,Fewer than 25 people,1.23 (Current LTS),When needed,"Confirm User Accounts, Semantic Bundle, Math, Cite, AFTv5, Lingo, SyntaxHighlight GeSHI, Google Analytics Integration, ImageMap, ParserFunctions, Interwiki, Collections","Why wikis? Most shareable, evergreen platform I've found for professionals to share their stuff. Why MediaWiki? Familiarity with Wikipedia's interface, and ease of extensibility.","Installing and upgrading process. Maintaining the site is a bit of a headache. Some extensions are especially troublesome (particularly Collections, SMW, and even Math). Spam is a major problem on public sites. ","It's very hard to find relevant discussion threads, because stuff goes stale so fast (wrt versions of things mainly). Often there is no input at all from the developers or other people that could probably help. 

Best solution, IMO, would be a mediawiki channel on StackOverflow... If this already exists, stop having discussion on mw.org.

IRC is no help, BTW. It's alien to 99% of people, and the only times I've tried asking there, I was ignored. It's hopeless for newcomers. ",,"I feel like a bit of an outsider, and don't know where to participate... Discussion pages, bug reports, IRC, etc. Have sort of given up on finding 'a place' I guess. 

Thanks for doing this survey!"
7/17/2015 13:26:55,Just Me,5+ years,5-10,Mix of Both,25-100 people,"1.25, 1.23 (Current LTS)",Ever major release,"CheckUser, Interwiki, Cite, ConfirmEdit, TitleKey, WikiEditor",It's a scalable software platform with an active community.,"The reading side of things is kind of okay (though still far behind the rest of the web in terms of design and usability).


However the editing side of things still feels very primitive and inaccessible. We need to start treating the special pages, edit page, review systems as a modern web application. Stop throwing more text at problems (endless walls of text) and start simplifying the interface in terms of design and UX. Even ignoring all of wikitext and templates, the experience of being a logged-in user is terribly outdated and full of usability nightmares.

The second thing would be a more streamlined ecosystem around extensions. Radically simplify discovery, installation and upgrading of extensions. Much like WordPress.",,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions, I help answer questions and provide support",Documentation is either absent or incredibly verbose and detailed as a giant wall of text. 
7/17/2015 14:40:12,Just Me,1-2 years,2-5,Public,Just me,1.23 (Current LTS),When needed,Semantic Forms,The features and functions of Semantic Mediawiki facilitate my work with terminology and create new possibilities for my projects.,,,I continue to learn about Mediawiki and follow related topics.,"Most of the local people to whom I have mentioned Semantic Mediawiki are not familiar with it, so I continue to mention it whenever I think that it might be helpful."
7/17/2015 21:26:06,25-100 people,5+ years,More than 10,Mix of Both,More than 500 people,"1.25, 1.24, 1.23 (Current LTS), 1.21, 1.20, 1.19, Older than 1.19, OS Packaged version (e.g. Debian, Redhat)",Every minor point release,"ParserFunctions
SyntaxHighlight
ControlSpecialVersion
AutomaticREMOTEUSER
HideReferringPage
SphinxSearch
",Group editable knowledge base,"Better support for non-MySQL databases.
Stop removing/renaming core functions and variables.","Better process and docs - gerrit, git, etc. a real pain for beginners.","I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions, I help answer questions and provide support","Nobody cares about things that are important to us. We have to do everything ourselves, but attempts to get code merged upstream languish or outright fail."
7/18/2015 8:06:56,More than 500 people,5+ years,1,Public,Fewer than 25 people,1.22,Ever major release,"Cite
semantic mediawiki",Knowledge base for manufacturing equipment,ease of install,,,
7/18/2015 12:14:59,Just Me,5+ years,2-5,Mix of Both,Fewer than 25 people,"Latest development build (master, 1.26+, WMF builds)",Ever major release,"SemanticMediawiki, SemanticForms, AdminLinks, MultimediaViewer, ParserFunctions
","Personal wiki for technical notes.
Developing a public Semantic MediaWiki site.",,,,
7/18/2015 12:48:49,Just Me,5+ years,5-10,Mix of Both,Fewer than 25 people,"1.24, Older than 1.19",When needed,"Cite, ParserFunctions, UserMergeandDelete  (against spam)","Global standard, high quality, has the right features to organize big/smart/scientific information ; open source ; I can be involved ","easy management and upgrade 

clearer, more precise and helpful error messages  (often these are easy things to address if one has good access to the code and observes an error condition)
","I'm not critical but I want it to be easy to get into and use phabricator and the other developer tools which seem to be changing all the time.
my attentiveness is sporadic so I am never caught up, sometimes trying to catch up.
easier setup and ways to help fix.
","I help with documentation, I help answer questions and provide support","developer tools are changing all the time

Not clear how to get newbies like myself going productively at hackathons"
7/18/2015 14:03:40,Fewer than 25 people,5+ years,2-5,Mix of Both,Fewer than 25 people,"1.25, 1.24",Every minor point release,"ParserFunctions, WikiEditor, LabeledSectionTransclusion, googleAnalytics, Promoter, WRArticleType","When we started our project, a wiki fit our immediate needs better than any available CMS; inside the wiki world, I picked the most active project. This was in 2009, and a visual editor, etc., was just around the corner. I'm using it nowadays because of the momentum - switching just seems to be too hard now for our single-developer outfit. Also, I keep hoping for those changes right around the corner...","1. I would like to see Wikimedia stop looking at essential extensions (ElasticSearch, Echo, VisualEditor) as add-ons instead of integral parts of the software. I mainly refer to the fact that development of those continually ignores the release cycle, only taking into account Wikimedia's rolling updates.","I believe mediawiki.org doesn't serve the community well enough. We need:
1. a proper system for extension listing and rating.
2. a major overhaul of documentation - just look at the list of orphaned pages, for example... [https://www.mediawiki.org/wiki/Special:LonelyPages]","I contribute feedback and bug reports, I help with documentation, I contribute to extensions","Documentation, documentation, documentation. But maybe that's just me."
7/18/2015 21:38:16,25-100 people,5+ years,More than 10,Mix of Both,100-500 people,1.19,When needed,"We try many spam, captcha, blacklist extensions.
None totally satisfying; not all wikis use the same ones.",No better free wiki,"Push updates, similar to wordpress.
Automated spam catching.
Better spam tools.
Still better spam tools.  
Better multisite tools/extensions built in.

Every one of my wikis ends up dying or having to restrict access because of spam, even the ones maintained by 2+ MW-savvy people, as soon as it first becomes popular on google, and then the # of active patrollers drops too low.","identification of core extensions.
shared maintenance and updating of core extensions.
easy ways to find other MW hackers or implementers near me.
access to good ~free wikifarms for times when I don't have time to spin up a new wiki myself.","I help with documentation, I contribute to extensions","Easy to post an extension, and never get any feedback from others.  No way to see who has downloaded or used it; no feedback from the general community.  "
7/18/2015 22:14:23,Fewer than 25 people,3-5 years,2-5,Private,,1.23 (Current LTS),Ever major release,"WhitelistPages
Cite
ParserFunctions
Vector
ContactPage
","I provide online spaces for Wikimedians, so MediaWiki is a natural choice for their familiarity with the software.","More disbundled features from core to extensions, and perhaps a ""lite"" package of selected features.",,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes",
7/19/2015 7:51:36,Fewer than 25 people,3-5 years,2-5,Mix of Both,Fewer than 25 people,"1.25, 1.23 (Current LTS)",Ever major release,"ParserFunctions, wikieditor, vector, ","easy to edit
easy to link","server usage
page read permissions
skin making","skins
configuration details (extensions)",,
7/19/2015 13:42:37,More than 500 people,Less than 6 months,1,Private,25-100 people,1.24,When needed,"Of the extensions not provided by default with MW:

Shibboleth (for single sign-on)
MSUpload  (to allow uploading multiple files)
EmbedPDF
","I was told to install MW by senior management. I still have no idea actually 'why' - despite asking. Usually I am asked to look into providing a 'service' (eg a wiki), and am then allowed to determine a suitable product. For some reason that didn't happen with the wiki.",The editor. It is by far the thing I am most often asked about (as in 'is there a better editor we can use? WYSIWYG?'),,"I contribute feedback and bug reports, I contribute bug reports/fixes to extensions (we had to to get theshibboleth extension working)",
7/19/2015 13:52:01,Just Me,5+ years,1,Private,Fewer than 25 people,1.23 (Current LTS),"OS Packaged version (e.g. Debian, Redhat)","ParserFunctions, Poem, Interwiki, BiblioPlus, EmbedPDF, ReCaptcha",It's a nice flexible system for doing what I want (I've adapted it to support a family history site for my relatives).,,,,People already know a lot.  I'm amazed at the nuances that get discussed on the mailing list.
7/19/2015 17:35:00,100-500 people,5+ years,2-5,Mix of Both,Fewer than 25 people,"1.25, 1.22",Every minor point release,"ParserFunctions, LdapAuthentication, Cite, CategoryTree, GraphViz, ",I *trust* it (the software) and know it'll be around forever (the community).,We would use it much more in business if page-level access control were more possible.,,"I contribute feedback and bug reports, I help with documentation, I contribute to extensions",The complexity (compared to e.g. Github) of contributing code.
7/19/2015 18:29:43,Just Me,Less than 6 months,1,Private,Just me,1.25,Every minor point release,,,,,,
7/20/2015 2:42:31,100-500 people,3-5 years,2-5,Mix of Both,100-500 people,Older than 1.19,When needed,"AccessControl, Approved_Revs, BibManager, CategoryTree, CharacterEscapes, CharInsert, Cite, ConfirmEdit, ContactPage, ControlStructureFunctions, DynamicPagesList, JavaScript, LOParserFunctions, OGG, QuestyCaptcha, SpecialInterwiki, Terminology, UserMerge, WhosOnline",for knowledge transfer of special themes,compatibility of core and extensions to older versions and to PHP-Updates,,I contribute to extensions,time - no help possible
7/20/2015 3:28:13,100-500 people,5+ years,2-5,Private,25-100 people,1.24,Ever major release,"Semantic MediaWiki, Semantic Drilldown, TitleKey, BoilerRoom, Semantic Maps",It's easy to use and provide a good concept for my use case.,,Continuous extension development. Lot's of extensions are not up to date with the latest MediaWiki version and the risk is quite high that a current extension cannot be used in future.,I contribute feedback and bug reports,
7/21/2015 9:22:04,25-100 people,5+ years,0,Private,Just me,1.22,,"Abuse filter,
Babel,
SyntaxHighlight,
Vector,
Translate",Because I can :P,Way of making patches.,Less influence from WMF,"I help answer questions and provide support, Translations, Minormost patches.","English as lingua franca, WMF, usurpation of projects by single coders or two usually from WMF or affiliate staff."
7/21/2015 13:18:20,More than 500 people,5+ years,2-5,Private,25-100 people,"1.22, 1.19",When needed,"WhoIsWatchingTabbed, Cite, CreateBox, PageHistoryRealnames, PdfExport, Checkpoint, TitleKey, ShowRealUsernames, ParserFunctions, StringFunctions, SyntaxHighlight, MultiBoilerplate, CategoryWatch, ReplaceText, DismissableSiteNotice, Presentation","Knowledge sharing and management, Requirements analisys, Development Tools discussion and documentation, Internal education.","Automated dependency check (MW core <-> extensions). Corporate use doesn't allow users to be anonymous, so ways to share lists of pages/articles to be watched would improve productivity (force watches would also be good)",,"I contribute feedback and bug reports, I contribute to extensions",
7/22/2015 1:55:09,Just Me,Less than 6 months,1,Private,Just me,"Latest development build (master, 1.26+, WMF builds)",When needed,數據，點數，金錢，遊戲，權限,,,,I help with documentation,
7/22/2015 12:12:11,100-500 people,5+ years,2-5,Mix of Both,Fewer than 25 people,"Latest development build (master, 1.26+, WMF builds), Older than 1.19",When needed,"Vector,ParserFunctions,PDFHandler,Piwik,ExpandTemplates","For activities related to the Wikimedia community (MW development, chapter activities)","As a developer, a modernized architecture (dependency injection, an ORM layer, proper skinning, decent test coverage...).

As a site administrator, a great administration interface (think WordPress).

As a Wikimedia user, the things I want most are on the way (good WYSIWYG, single sign-on an app integration, sane communication tools, semantic data). The things I would like to see most that are not works in progress are probably better cross-wiki content integration (global modules/gadgets).","More leadership, an actual roadmap. The recent changes in the role of the architecture committee are promising.","I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions, I help answer questions and provide support","I think MediaWiki is not attractive to either enterprise users (lack of proper permission controls is the main reason) or freelancers (great documentation and a nice admin interface are missing the most) and that limits involvement from developers outside the Wikimedia universe and in the end endangers self-sustainability. I would love to see a separate MediaWiki organization, funded by the Foundation for a few years with the goal of becoming self-sustainable, that tries to make MediaWiki attractive to a wider demographic of developers and into more of a framework than a CRM (Drupal is a good role model)."
7/22/2015 17:01:09,25-100 people,5+ years,0,Public,More than 500 people,,,,"Used on Wikipedia, wiki of Wikimedia Belgium, etc",More possibilities for easy enhancements,Easier to know who to speak to for talking about a subject,"I contribute feedback and bug reports, I help with documentation, I help answer questions and provide support",Not easy to find who to contact or status of the software development.
7/22/2015 17:54:37,Not sure,5+ years,1,Public,Fewer than 25 people,1.24,When needed,,We wanted a wiki it seemed the natural choice as we knew it from WP.,An easy to customize user interface where we can blend out everything that is not necessary for the unregistered reader,the software documentation needs a lot improvement,,too difficult to understand
7/22/2015 19:34:37,Just Me,1-2 years,1,Private,Just me,"Latest development build (master, 1.26+, WMF builds)",When needed,"ParserFunctions, SyntaxHighlight, Cite, Scribunto, Interwiki, ...",Testing for Wikipedia,,,"I contribute feedback and bug reports, I help answer questions and provide support",
7/22/2015 19:43:47,Fewer than 25 people,3-5 years,5-10,Mix of Both,More than 500 people,"1.25, 1.23 (Current LTS)",Ever major release,"Translation, Upload","Educational platforms, free of charge, use is known by many users because of the wikipedia.","Multiple Languages by default, Cache by default pre-installed and outsourceable.",Easier entry in points of development.,"I contribute feedback and bug reports, I help answer questions and provide support","No direct contact, slow answer or no answer rate in support chats, no people guiding you at the beginning."
7/23/2015 16:15:06,More than 500 people,1-2 years,5-10,Public,100-500 people,1.22,When needed,"SemanticMediaWiki, Semantic Result Formats, Parser functions, Arrays, Variables",,,,,
7/23/2015 16:15:21,Just Me,3-5 years,2-5,Private,Just me,1.24,When needed,"Semantic Bundle,Parser Functions,Loops,Arrays,Variables",,,,,
7/23/2015 16:24:00,Just Me,5+ years,2-5,Mix of Both,Fewer than 25 people,1.25,Every security release,"Semantic MediaWiki, ParserFunctions, Semantic Forms, Semantic Result Formats, Scribunto, CirrusSearch, WikiEditor, TitleKey, UniversalLanguageSelector, Language Names",Because it is flexible and has a good i18n.,UI,Core developers should pay more attention on the use of MediaWiki beyond Wikimedia sites. ,"I contribute feedback and bug reports, I help with documentation",I don't know.
7/23/2015 16:33:08,Fewer than 25 people,5+ years,1,Private,Fewer than 25 people,1.22,When needed,"Semantic Mediawiki, Semantic Forms, Solr, Semantic Result Formats, PDF Export","Best Wiki Engine, known to everybody. Semantic Mediawiki is great to collect and proces facts internally and imported from other sources.",Skin; Performance; Editor; Some more functions to make Mediawik ieasier to include into enterprise environment like ACL.,Everything fine. :),"I contribute patches and bug fixes, I help answer questions and provide support",Provide easy to understand use cases that show more than classical wiki tasks - MediaWiki is much more useful and powerful than most people know. Maybe more and frequent local meetings.
