Timestamp,How large is your organization?,How long have you been using MediaWiki?,How many MediaWiki sites do you manage?,Are your sites public or private?,Approximately how many people are there on your MediaWiki sites?,What MediaWiki Version are you currently using?,Which MediaWiki update cycle is closest to what you use?,"Of the extensions you use, which are your most essential?",Why do you use MediaWiki?,What would you like to see most improved in MediaWiki the software?,What would you like to see most improved in the community around MediaWiki?,Do you make contributions to the MediaWiki community?,"What barriers, if any, do you think exist to participation in the MediaWiki community? What can we do to help?"
7/23/2015 16:47:08,Fewer than 25 people,5+ years,2-5,Public,Fewer than 25 people,"1.25, 1.24, 1.23 (Current LTS)",Every security release,"SMW, CategoryTree, MultiBoilerplate, Interwiki, QrCode","We need a wiki and we want as well text as multimedia
We also wanted a wiki with a wikisyntax that people know","Easier theming
Reduction of memory footprint, increase of performance
Easier management of media files
More ajax instead of reloading whole pages",,"I contribute feedback and bug reports, I contribute to extensions","which media to use ?
what kind of contribution is wanted ?"
7/23/2015 18:15:17,25-100 people,1-2 years,1,Mix of Both,Fewer than 25 people,1.25,Ever major release,"semantic_ask, semantic_form, category_tree, WYSIWYG, WikiEditor, widgets, RawFile, Code","We make documentation about our technical project, 3d printing, ""fablab all day making"" ","I thing the interaction between user could be better. 
profile page, inter member discussion, should be improved ( see MW ep_lite plugin for quick multi user editing )

clarify the free editing concept  for use as collaborative tool","maybe the visibility of the ability to anybody to  help. oh, bot is quite speed and rude with people try to help","I help with documentation, I contribute to extensions, I help answer questions and provide support","plugin jungle to add user friendly uses as user_board, gift, contribution score.
lot a people want a mini blog around their contributions, or just web-ify their mindings. maybe a mediawiki-diaspora mixed thing? "
7/23/2015 19:42:22,More than 500 people,1-2 years,2-5,Mix of Both,25-100 people,"Latest development build (master, 1.26+, WMF builds)",When needed,"in-house extensions, Semantic MediaWiki, Semantic Forms, Translate, CirrusSearch",It's the only platform that is widely translated and supports all the forms etc. we need.,"Page editor, speed",Not enough experience to comment on that,,
7/23/2015 21:47:34,More than 500 people,3-5 years,5-10,Mix of Both,More than 500 people,"1.25, 1.23 (Current LTS)",Ever major release,"Semantic Mediawiki, Semantic Forms, SemanticCompoundQueries, Variables, ParserFunctions, Cite, StringFunctionsEscaped, TalkRight, HeaderTabs, WikiEditor, Wiretap, WatchAnalytics, ApprovedRevs, Interwiki, MasonryMainPage, SummaryTimeline, ","MediaWiki is an open-source, widely-supported, and extendible wiki platform providing the flexibility of an open wiki and the power of a database (through extensions). This provides a solid single-source solution for corporate knowledge management.","Options for refined access control lists, better onboarding and tools for new users, gamified social aspects to entice prolonged usership, and tools to determine the pedigree of each contribution to each page thus enabling the ranking of how trustworthy each bit of knowledge is.","Better documentation for both new users and extension developers, easier access to core developers for help in developing extensions, more mechanisms to foster collaborative development.","I contribute feedback and bug reports, I help with documentation, I contribute to extensions, I help answer questions and provide support, I preach its worth to everyone I talk to","1) The underlying perception that MediaWiki's focus should be on Wikipedia. MediaWiki is bigger than Wikipedia and everyone needs to accept that fact. It is critical that the community address the needs of the majority, even if that means working on features that aren't relevant for Wikipedia. MediaWiki and Wikipedia can diverge and still thrive together. The more that the WMF supports ""3rd-party users"", the more those 3rd-party users will support the WMF.

2) Documentation - it's hard to start out because documentation is the last thing a developer wants to work on. So it is often outdated or incomplete.

3) Intimidation - there are many strong-minded developers in the community and newcomers can easily be discouraged from contributing."
7/24/2015 0:35:14,100-500 people,5+ years,2-5,Private,25-100 people,1.24,When needed,"Semantic Mediawiki, Semantic Forms, Semantic Internal Objects, Semantic Result Formats, ParserFunctions, Header Tabs, External Data, Data Transfer, DynamicPageList, WikiEditor  ","Machine documentation, CRM",Per page read and edit rights.,The documentation.,"I contribute feedback and bug reports, I help with documentation, I contribute to extensions, I help answer questions and provide support",
7/24/2015 2:15:54,25-100 people,5+ years,1,Private,25-100 people,1.24,When needed,Semantic MediaWiki,Information structuring.,Composer-based installation.,,"I contribute feedback and bug reports, Translation",
7/24/2015 2:20:19,Fewer than 25 people,5+ years,2-5,Mix of Both,Fewer than 25 people,1.24,Every security release,"Semantic Mediawiki, Semantic Forms, ParserFunctions, Scribunto, Widgets","For the same reasons as the Wikipedia project that it was originally authored for. Our site(s) are enycopedia-like rather than news, current afffairs of social-media based.",Nothing stands out. Happy to ride the slip-stream of a vast technical user knowledge-base.,No complaints,"I contribute feedback and bug reports, I help answer questions and provide support","Nothing significant in the 'community' itself. However, since it is comprised largely of clever, young people, there is a subtle obstacle; viz - successful careers depend largely upon the necessity of (at least tacit) adherence to official narratives of the West's moral superiority, in its notions pf 'progress' and its dealings with the rest of the world; when in reality it is becoming - and probably by design of its a defacto masters - a veritable moral sewer. REDACTED sits way outside such official narrative concensus. We are thus apt to be dimissed at tin-foil-hat-wearing conspiracy-loons

"
7/24/2015 2:26:31,25-100 people,3-5 years,1,Private,25-100 people,1.19,When needed,"Semantic MediaWiki, Semantic Forms, Semantic Result Formats, Import Users, Replace Text, Semantic Forms Inputs, Semantic Compound Queries, External Data, Semantic Maps",Structured information handling and presentation.,Easier update (Composer?),,"I contribute feedback and bug reports, Translation",
7/24/2015 4:18:15,More than 500 people,1-2 years,2-5,Private,25-100 people,"1.19, Older than 1.19",When needed,"SMW, SparqlExtension, ReplaceText, GrapViz, ImageMap, SemanticForms",We use MediaWiki as base for semantic wikis on top of SMW. ,"We have a mix of structured and unstructured content and are building apps inside the mediawiki/SMW infrastructure.

Therefore we would need a real IDE, perhaps some kind of Eclipse for MediaWiki and SMW.",,I contribute to extensions,
7/24/2015 4:57:23,More than 500 people,5+ years,2-5,Mix of Both,25-100 people,"1.24, 1.23 (Current LTS), Older than 1.19",When needed,"Semantic MediaWiki, ParserFunctions, Semantic Forms, Chameleon, Bootstrap, AutoCreatePage, Variables, Semantic Result Formats, PDF Handler, Replace Text
","* I want a fully versioned, community-safe CMS in many projects
* Best integrated data management of any CMS I know
* I know how to use it and can fix issues when needed
","Skinning (under way now, but I still have to see if any of my current sites can be upgraded without doing all the skinning work again)","Better community resources that don't look like web pages from the late 1990s. One can do modern-looking web pages in MediaWiki, too. Extension and skin search could be done with SMW and friends using very nice UIs. There is support for in-wiki faceted browsers and query forms to find pages. Everything can be skinned to use more images in search results. But someone has to put in the work to build these web pages.","I contribute feedback and bug reports, I contribute to extensions, I help answer questions and provide support, help to organise meetings","There is a huge barrier of entry, for users and admins alike. MediaWiki is ""programmed"" in content pages (templates, but also advanced HTML layouts, queries, and forms), but this programming is left almost entirely to the user. It's a developers' system with mostly developers' documentation. A starting point might be to create tutorials that focus on a functionality that an actual user might want in her or his wiki (""mobile-friendly portal page"", ""twitter feed box"", ""MW-based news feed"", ""multi-language wiki"", ""event calendar"", ""in-page search form"", ...). Right now, most of our documentation is technology driven, not use-case-driven."
7/24/2015 5:54:14,Just Me,1-2 years,1,Private,Just me,1.25,Every security release,SemanticMediaWiki,Am building a personal knowledgebase to house research materials for my Phd.,Easier integration for local files and media.,,,
7/24/2015 7:23:38,More than 500 people,1-2 years,2-5,Private,Fewer than 25 people,1.24,When needed,"SMW of course, including Semantic Forms, Semantic Maps and Semantic Result Formats",Building research dataset and Data integration,"Import / Export of data, better Schema editing. Mobo (by Simon Heimler) is a good 3rd party tool that develops in the reoght direction",I don't see that the community needs to be improved.,,"Steep learning curve, some devs have good answers very fast most of the time, so its most of the time already answered, if there is a question that one can answer."
7/24/2015 8:51:03,25-100 people,3-5 years,1,Private,25-100 people,1.25,Ever major release,"Semantic MediaWiki, Semantic Forms,Semantic Forms Input, Semantic Result Formats, External Data, DataValues, LDAP Authentication, Parser Functions",Only way to capture free form information about our customer based on top of structured relationships,parser function aware editor would be nice...,More examples of how to do things,Help with Semantic MediaWiki of the month selection process,Awareness.  It is amazing how many people still don't know about this great tool-set
7/24/2015 9:28:00,More than 500 people,1-2 years,5-10,Mix of Both,More than 500 people,Older than 1.19,When needed,"Ponydocs, Widgets, Dynamic Page List (third-party), Parser Functions, Slimbox Thumbs, custom extensions for localization, contextual help mapping, etc","We use MW for our public-facing technical documentation.

Originally, because free and open source.  As time went on, the ability to customize as we needed - stable platform, can make it look and work how you need it to.  As opposed to asking a vendor to make changes.","Easy ways to customize the UI - a more modern look.

An extension that lets a company easily brand/color scheme their wiki  instance.

IMO, most of the good wiki implementers (consultants) are interested in all the background plumbing of what MW can do - and UI is an afterthought.  This is not a good approach for wider update.  Average folks can't ""see"" what is cool about software, if it does not look good.  ","A focus on the software technical documentation industry.

IMO, the vendor software around this industry, which is all XML-based, is out of date and not responsive to modern web-based users. 

I could see Mediawiki, in combination with query-based tools (SMW, DPL, Cargo) making serious inroads in this space, if it was easier to get a platform set up and working.  It works for us, but only with heavy investment from developers in our group. 

In particular, the Ponydocs extension holds GREAT promise to transform the whole industry - but only IF there were a lot more folks using it, contributing extensions and query-based tools samples, to solve the various content problems software orgs come up against.",,"Resources.  We have a couple custom extensions that work for us, but it is difficult for us to actually release them open source - test them against various versions, strip out idiosyncratic company-specific features, and make useful for a wider audience.

We do intend to release a couple of these extensions at some point though."
7/24/2015 9:28:11,More than 500 people,3-5 years,2-5,Private,More than 500 people,1.23 (Current LTS),When needed,"Semantic MediaWiki, VisualEditor, SimpleSamlAuth, HeaderTabs, MsUpload, Parserfunctions
","We use MediaWiki primarily for company process, policy, and technical documentation. We use it (instead of other options) primarily because of the stability and flexibility it provides. Additionally Semantic MediaWiki and its related extensions provide a lot of power that we haven't seen in other platforms. ","For the most part the core MediaWiki code is pretty solid; however, the addition of composer, specifically extension installation via composer, has been a bit of a bear. Using composer for standard libraries that MediaWiki makes sense, and allows easier standardization for any extensions that want to use the same libraries. However, when it comes to extensions it has become a bit of a mess, especially with trying to efficiently control how they are managed. Especially if I need to quickly disable one on the fly for some quick testing (extension conflicts), or just troubleshoot a particular extension with a debugger. ","Support for private wikis, or maybe better communication around private wikis. The impression that I get is that private wikis are a little bit of an afterthought. It's still good that we're addressed and not ignored, but I suspect there may be more out there in corporate environments than people are aware of. 

Also, there's very much a wikipedia centric focus. That's not unsurprising or necessarily always bad, but there are cases where it's detrimental to the improvement of the community. For instance, from what I've seen the development of an Upload UI for VisualEditor has been stalled out due to copyright concerns. While this is a very valid concern for the open internet at large, but for internal wikis we'd at at least like something bare-bones we can use. In a corporate environment, lacking an editor that is ""easy to use"" is a big detractor. ",I contribute feedback and bug reports,I can't think of any major barriers to participation. 
7/24/2015 10:53:15,More than 500 people,3-5 years,2-5,Mix of Both,25-100 people,1.23 (Current LTS),When needed,"Semantic Mediawiki
Semantic Forms
Semantic Internal Objects
Semantic Result Formats
Replace Text
User Merge and Delete
Arrays
Header Tabs
MagicNoCache
Variables
ParserFunctions
DismissableSiteNotice
WikiEditor",For Semantic Mediawiki and Semantic Forms' ability to allow for easily user-editable database functions.,,More support for easy-to-use plugins/extensions that help with data display & visualization,I contribute feedback and bug reports,
7/24/2015 11:56:23,Fewer than 25 people,3-5 years,1,Public,Fewer than 25 people,1.25,Every security release,mobile frontend,trying to provide alternative for Texas attorneys to non-attorney corporate owned websites,mobile frontend,I understand why it is what it is but the extensions documentation is often lacking in depth and timeliness.,I contribute feedback and bug reports,None that I know of.
7/24/2015 15:05:28,More than 500 people,5+ years,1,Private,100-500 people,1.25,Ever major release,"Semantic MediaWiki (forms, maps, etc),
ParserFunctions,
MWsearch,
VisualEditor,
ImageMap","It's a great set of code because of it's broad authorship, features, and stability. It gets better-and-better over time, and yet the data model and core upgrades with simplicity. I can count on it, and a corporation is not going to mess it up because of *their plans*.","In an enterprise we *know* who everyone is and they do, generally follow the rules. I would build the easy of watching content, keeping up on changes, who has the rights to change things, and who should check it off as being golden.

The articles are great; we have a small set of reviewers and need tools that help us watch and verify the content.","I'd like to see the enterprise community find ways to be on the same page, and the contribute together to help make MediaWiki even stronger.",I contribute feedback and bug reports,Some of us are just too busy. I think that good calendars and organization and plans can help people like me to be better players in the space because it's factored into my plans.
7/24/2015 20:39:09,Just Me,1-2 years,0,,Just me,"Latest development build (master, 1.26+, WMF builds)",When needed,"ImageMap, GraphViz, SMW, VisualEditor, offline content generation","In my former role my org used MW for knowledge management. I enjoyed it and would have liked to have used the graphviz extension, had one existed of better quality. I took over maintenance of the extension (and re-wrote it) as a personal project when I left IBM to be a stay at home dad.","Offline content generation doesn't support any extension-generated images. For example, it doesn't interoperate with the ImageMap or GraphVis extensions. I raised a bug but hey, a little more visibility couldn't hurt.","As a volunteer, I find it hard to get code reviews in a timely fashion or at all. I've resorted to regularly +2ing my own commits to keep forward progress on the extension I maintain. I was fastidious and extremely patient for reviews of my initial rewrite but gave up shortly after. I must say i18n/l10n reviews are timely and very good.","I contribute feedback and bug reports, I help with documentation, I contribute to extensions",I've sent polite emails to a WMF developer and not received a response. Please respond to polite email queries.
7/24/2015 21:24:43,Not sure,Less than 6 months,0,Mix of Both,Just me,"OS Packaged version (e.g. Debian, Redhat)",When needed,,Part of my Self-Study About How network goes,We are 1FOREVER FREEDOM everywhere,Asked jUan? To be jUan!,Beginner,"Making the internet accessible for all. But, it needs a lot of Self discipline to consider this!
From zerO to herO is what I mean"
7/25/2015 10:47:39,Fewer than 25 people,1-2 years,2-5,Private,25-100 people,"1.25, 1.24",Ever major release,"Semantic Mediawiki, Semantic Glossary, Semantic Internal Objects, User Merge and Delete, Graphviz, MsUpload",Open Source based on extensions and has developer community.,Security,"Technical knowledge, understanding architecture and best standards to extensions. Create developers communities in the region or countries, migth in LATAM.",I contribute feedback and bug reports,Not regularly basic technical workshops to get involce in mediawiki community.
7/25/2015 13:35:18,100-500 people,Less than 6 months,2-5,Mix of Both,Not Sure,1.23 (Current LTS),When needed,,,,,,
7/26/2015 6:04:02,25-100 people,3-5 years,1,Private,25-100 people,1.19,When needed,,Was there when I joined,"Usability, closely 2nd installability. I also run dokuwiki in a similar org. It's way easier to provide a useful environment to users there within just a couple of clicks. Upgrading is a breeze there.",Missing a vision on where stuff is going for normal users ,"I contribute feedback and bug reports, I contribute patches and bug fixes","It's complex as hell, both on the community level and the development level"
7/27/2015 6:10:02,Fewer than 25 people,5+ years,More than 10,Mix of Both,More than 500 people,"Latest development build (master, 1.26+, WMF builds), 1.23 (Current LTS)",Ever major release,"BlueSpice, FlaggedRevs, Semantic",It´s a well known knowledge plattform tool. As Open Source Software it is flexible and adjustable to many different needs. MediaWiki has big and vivid community. ,General usability and interface. Also the skin and the connectivity to other business tools like tools for process description.,,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions",
7/27/2015 9:10:21,More than 500 people,1-2 years,2-5,Mix of Both,Fewer than 25 people,1.24,Every minor point release,"Semantic MediaWiki,Semantic Forms,Semantic Drilldown,ParserFunctions,Semantic Forms Inputs,Semantic Maps,Maps,Semantic Result Formats,Header Tabs,HTML5 Video",Preinstalled,"Packet manager for extensions, one-click extension installation, configuration wizard for extensions",Non-public ways to get help from the community,I contribute feedback and bug reports,I don't do PHP or JavaScript
7/28/2015 1:27:04,Just Me,1-2 years,1,Public,Just me,1.23 (Current LTS),Every security release,Semantic MediaWiki and all its related extensions!,Because of Semantic MediaWiki,Better and more intuitive Semantic MediaWiki integration,More support for absolute beginners like myself,,
7/28/2015 7:25:24,100-500 people,5+ years,1,Private,100-500 people,1.24,Every security release,"Semantic MediaWiki
CategoryWatch
Auth_remoteuser
InputBox
SyntaxHighlight
CategoryTree
WikiEditor",To share information company-wide.,The editor. My users want wysiwym editing.,"1. Some of the documentation should be improved, including cleaning up the discussion pages on documentation.
2. Extensions should be easier to install.",,"Due to the difficulty in keeping versions and extensions up-to-date, our wiki is always lagging behind in updates. That is why I am always using older versions and unable to contribute bug reports."
7/28/2015 10:07:28,Fewer than 25 people,5+ years,2-5,Private,More than 500 people,1.24,Ever major release,Many - difficult to name them all,Best wiki software available and it's recognized so widely by all people the change management is easier for corporations,The editor - just more features and more intuitive,The creation of a clear strategy going forward so we know what to expect in the development roadmap,,Many companies still want to try the SharePoint Wiki offering since they use SharePoint so readily - IT departments in corporations are often reluctant to support MediaWiki
7/29/2015 2:09:52,More than 500 people,3-5 years,2-5,Public,100-500 people,"1.25, 1.22",Every minor point release,"AbuseFilter, MediaWikiChat, CheckUser, Semantic MediaWiki, Echo",It's an efficient platform to host content and information,User-friendliness of wikisyntax,Technical support of third party extensions,"I contribute feedback and bug reports, I help with documentation, I contribute to extensions, I help answer questions and provide support",
7/29/2015 11:10:22,Fewer than 25 people,5+ years,More than 10,Mix of Both,More than 500 people,"1.25, 1.24, 1.23 (Current LTS)",When needed,"Semantic MediaWiki, Semantic Forms, Semantic Result Formats, Bootstrap, Lockdown, UserFunctions",Because it provides a very good platform for developing information systems for businesses.,"First I want to say that we really love working with MediaWiki!
Improvements:
- A way to share content (templates, forms, properties). Something similar to the way system messages can be shared in a flexible way.
- Wiki markup syntax highlighter and support for easier development of templates.
- Standard ways to login with LinkedIn, Facebook or Google credentials. 
- Export files or a way to download all files in a zip-file.
- Easier upgrade. ","Well, it is impressive as it is. Can't think of improvements really.","I contribute feedback and bug reports, I contribute to extensions, I help answer questions and provide support",We don't see barriers. It may be 'more appealing' however if modern skins (we use Chameleon as the standard skin for our solutions) are mainstream and MediaWiki use for business is promoted.
7/29/2015 11:33:03,25-100 people,1-2 years,2-5,Public,100-500 people,"1.25, Older than 1.19",Ever major release,"twinkle, imagemap, multiboilerplate, parserfunctions, ",Encyclopedic historical database for a medieval/fantasy combat organization with 35+ years of history and culture.,,,"I contribute feedback and bug reports, I contribute to extensions",
7/29/2015 11:48:30,Fewer than 25 people,3-5 years,2-5,Private,Fewer than 25 people,"1.25, 1.19",When needed,"LabeledSectionTransclusion, EasyTimeline, Quiz, FancyBoxThumbs, SyntaxHighlight","It is easy to setup, easy to use, and reliable. Also has many ways to organize a bunch of information and turn that into a shippable product.",the way it is right now is just fine :),i don't know.... i'm not really active in the community.,,
7/29/2015 22:51:54,,,,,,,,,,,,,
7/30/2015 7:02:29,More than 500 people,Less than 6 months,0,Private,Just me,"Latest development build (master, 1.26+, WMF builds)",When needed,Revised responses above:  We are in the exploratory phase of design for a site.  So currently not using any version of MediaWiki nor any update cycles.      ,Our site will be built during 2016,,,Try to attend weekly meetings,Enjoy the Friday sessions when I can attend.  
7/30/2015 9:23:54,Just Me,1-2 years,2-5,Private,Fewer than 25 people,"1.24, 1.23 (Current LTS)",Ever major release,"ParserFunctions, Semantic MediaWiki, Semantic Forms, Semantic Forms Inputs, Semantic Result Formats, Translate, UniversalLanguageSelector, MediawikiPlayer, Data Transfer",,"User Interface, simple usability, simple upgrade/extension handling, ability to choose skins and/or adapt skins easily (without as much HTML/PHP/CSS knowledge), clearer error reports + solutions","A bit more user-orientated (compared to developers' orientation), more women, more sharing of knowledge apart from dev's",I help answer questions and provide support,Ease the entrance – at the beginning it's hard to find out: How can I help – without stepping on somebody's toes? How can I help without being the 100% expert yet? Where is my help needed and wished?
7/30/2015 9:48:58,Fewer than 25 people,5+ years,2-5,Public,Fewer than 25 people,1.24,Every minor point release,"MobileFrontend, Translate",Because people know Wikipedia and it is easier to motivate them to edit when they know that they will learn to edit Wikipedia as well.,"Mobile contributions, microcontributions.",3rd party MediaWiki users unite!,"I contribute feedback and bug reports, I help with documentation, I work in WMF's Engineering Community team","Difficulty receiving information of what really matters and is interesting; it's basically all or nothing.

Ways to provide small doses of feedback (votes, etc) without having to subscribe to or follow noisy channels.

Proxies: people I can provide feedback casually and they will consolidate / prioritize / do the right thing."
7/30/2015 10:01:27,Fewer than 25 people,3-5 years,More than 10,Mix of Both,Not Sure,1.25,Every minor point release,"CentralAuth, GlobalBlocking, SiteMatrix, AbuseFilter, AntiSpoof",A simple piece of software which has a wide range of features including easy-to-configure wikifarm set up using wgConf,Better customization within the interface without the need for a lot of things going to LocalSettings.php. That is the major bug for Wikifarms.,Better documentation of the minor/less common features. (ca. all the red links on MediaWiki.org),"I help with documentation, I help answer questions and provide support",Nothing as far as I know.
7/30/2015 10:08:50,Fewer than 25 people,1-2 years,5-10,Mix of Both,Not Sure,"1.25, 1.23 (Current LTS)",Every minor point release,"CheckUser, AbuseFilter, SpamBlacklist, TitleBlacklist, ParserFunctions, CentralAuth, GlobalBlocking","MediaWiki makes it possible to work with wiki software which has many functions, can easily be extended with hundreds of extensions and everyone can contribute to it.

MediaWiki is open-source and developed by a non-profit organization and volunteers from all over the world, and when you run a non-profit site it is a major plus for you if you can run your site on open-source free software.","MediaWiki is a very big piece of software, and it only gets bigger and bigger. There aren't many performance improvements, and high-traffic MediaWiki sites won't run well without the help from HHVM and caching (e.g. Varnish and Redis). It would be cool if a big amount of code can safely be rewritten so that it is more efficiently.

(not sure if this belongs to ""community around MediaWiki"")
Also, it looks like that there are bugs which are very old (e.g. more than 3 years), and still not resolved.

Old bugs = long-term bugs, and those are bad.",I'm not sure what I have to fill in here :),"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions","There must be a friendly environment, better documentation (imo especially old docs from 8 years ago are a mess) and no one should be afraid of contributing :)"
7/30/2015 11:37:21,More than 500 people,1-2 years,1,Public,More than 500 people,1.23 (Current LTS),When needed,"BlueSpice
Echo
Popups
Gadgets
Parser Functions
Category Tree
","Open Source, free, it's the best, extensions available, sense of community, the entire movement I love between wikipedia, commons, and others, free open source and sharing.",A completely visual editor ready to use out of the box included in the package at installation.,"Common language for users, and tutorials for common users for installation of the more complex extensions, for example, I still cannot figure out how to install Visual Editor successfully on Shared Hosting. There is nothing out there that explains how.","I contribute feedback and bug reports, I help answer questions and provide support","the only barrier I see is the user has a hard time interpreting the language of the developers. Even after reading Yoran's book for Mediawiki and doing a ton of research I find myself scratching my head about many things within Mediawiki. 
that being said, I am very happy with Mediawiki and the movement. I am a donor as well."
7/30/2015 14:09:51,More than 500 people,5+ years,2-5,Private,More than 500 people,1.24,When needed,"CategoryTree

Collection

Contribution Scores

Echo

Interwiki

Lookup User

Renameuser

User Merge and Delete

WhoIsWatching

CategoryTree

Cite

DynamicPageList

EmbedVideo

ImageMap

LabeledSectionTransclusion

MediawikiPlayer

ParserFunctions

PdfBook

RSS feed

SyntaxHighlight

PDF Handler

Article Feedback

DismissableSiteNotice

Mantle

MobileFrontend

MultiBoilerplate

PageNotice

Thanks

TitleKey

WikiEditor",Internal communications,Watchlist changes appear in notifications.,Nothing,I contribute feedback and bug reports,Not enough time
7/30/2015 23:25:54,Just Me,3-5 years,2-5,Mix of Both,More than 500 people,"Latest development build (master, 1.26+, WMF builds), 1.25",Every security release,"CheckUser, Nuke, Antispoof, OAuth, Flow",It's most convinient for me.,Convinience for users.,,"I contribute feedback and bug reports, I help with documentation, I contribute to extensions, I help answer questions and provide support",
7/31/2015 6:39:30,Not sure,1-2 years,2-5,Private,Not Sure,1.23 (Current LTS),When needed,"RSS Feed, Wiki Tag Cloud, Bue Spice for MediaWiki, category Tree, PDF Händler",I wanted to  improvisieren The Knowledge Transfer and - Exchange in my workplace / professional Group. ,"Editor - better integration of WYSIWYG
Rss -integration
Discussion tools","Community is OK, as far as I can see.",,"Probably too many know-everything-people around, no easy path to integration of newbies"
8/2/2015 18:16:10,More than 500 people,5+ years,1,Private,More than 500 people,1.25,Ever major release,"Semantic Mediawiki, Semantic Forms, Maps, Parser Functions, Arrays, Variables, URLGetParameters, Semantic Query Form Tools (now dead apparently)","For its extreme flexibility, built-in consistency checks (red links, redirects) and automation (bots, api).",Ease of deployment and customization of skins... difficult to go back to managing MediaWiki after experiencing the level of user friendliness of Wordpress.,,"I contribute feedback and bug reports, I help answer questions and provide support",